公司,工作地區,職稱,start_time,end_time,最高學歷,一週工時,待遇,是否推薦此工作,內容
美隆工業股份有限公司,桃園市,SALES PRODUCT MANAGER,2007-01-21,2009-01-20,碩士,60,"840,000 / 年",不推,"【實際工作內容】
掛產品經理，但兼任業務，兼任PM，有時還要兼任Sourcer

【工時狀況】
加班條件差，往往帶回家做，有責任感的一週工時絕對超過60小時，責任感差的絕對不會超過40小時

【公司管理方式】
各自為政，導致內部協作配合度差

【公司 / 團隊文化】
山頭林立，各掃門前雪，養老風氣盛，“資深”員工多如牛毛

【升遷制度】
沒有固定調薪，沒有明確升遷管道，加班費聊勝於無，可換補休

【薪資福利】
說保14個月，但後面兩個月用底薪算，大概要打個7折，無固定調薪，有些人非常資深但薪水如同新鮮人。"
大山寺廟營造,雲林縣,大木作師傅,2020-01-21,2022-01-20,國中,48,"2,500 / 日",,"【工作內容：大木作工程，古蹟修復工程】
薪資：（日薪制）1天：2500元，1個月：65000元，補貼車資油錢，一個月約：70000元
工作時間：星期一～星期六（8：00～17：00）,星期日（休息）"
孫悟空創意發明股份有限公司,臺中市,助教,1900-01-20,1902-01-19,,40,,不推,"【公司管理方式】
只需要會拍...無能力OK  與正常公司絕對不同 能想到的問題都有,教學部門UK主管問題很大,讓許多人見識到職場可以多不X德的一面

【薪資福利】
讓生活蠻不安穩,還會聽蠻扯的要求

【獲得的成長】
一切都靠自己,自己使自己成長

【升遷制度】
無制度,靠嘴吧

【公司 / 團隊文化】
假假假,還有很多不老實"
願境網訊股份有限公司,臺北市,SQA INTERN,1900-01-20,1902-01-19,碩士,24,170 / 小時,不推,"【工作內容分享】
其實這邊福利不錯，有免費的零食跟飲料，時薪也比法定時薪高。如果單純只是想打工賺錢，這裡真的非常適合。但對於資工或資管的學生，如果是想增進實力的話，比較不推薦，QA團隊的測試主要是手動，也就是要手動照著測項操作app，沒有問題就標上pass，有bug的話還要做另外的處理，紀錄測試的相關資訊，整體工作技術面含量非常低，團隊的環境普普。單純找工讀的話是個不錯的地方，若是想磨練自己可能要另闢蹊徑。"
台灣科德寶寶翎不織布股份有限公司,桃園市,工程師,2010-01-21,2012-01-21,大學,60,"50,000 / 月",不推,"【實際工作內容】
申報數據、作業環境管制、改善建議"
康那香股份有限公司,臺北市,船務╱押匯╱報關人員,1900-01-20,1902-01-19,碩士,45,"28,000 / 月",推,"【上班氣氛氛圍是還不錯】
主管人很好，大部分同事們也都很友善，不過社交的活動有點多，見仁見智"
寶成工業股份有限公司,臺中市,外派人力資源（越南）,2005-01-21,2007-01-21,大學,54,"950,000 / 年",不推,"【外派一週上班六天，一日約上班9-10小時。】
大部分工廠都在郊區省份，到胡志明市區1.5-2小時，所以下班時間只能在工廠宿舍，沒有太多娛樂，要很能自己找事情做。
公司伙食中上，如果不滿意都可以提出建議，公司會改善還不錯。"
安口食品機械股份有限公司,新北市,業務助理,2002-01-21,2004-01-21,大學,,"28,000 / 月",,"【公司 / 團隊文化】
同事都很好相處，還沒有遇到背後來一刀的
上班氣氛蠻歡樂
公司環境很漂亮
蠻注重 Team Work

【實際工作內容】
一般業務助理的進度掌握、出貨安排。
會有人帶你了解各個產品後，客戶來訪時有機會由你協同接待。
會需要用到英文，書信、電話。
處理出口相關業務。
整理一堆紙本文件。

【工時狀況】
偶爾事情處理不完會需要加班

【其他】
試用期滿的最後一天臨時被資遣，請你收收東西隔天不用去了，但先前都沒有明示或暗示哪裡不適合或需改進，後來據了解公司流動率滿大的。"
中正高齡社會企業股份有限公司,嘉義縣,業務銷售人員,1900-01-20,1902-01-19,大學,4,,不推,"【工作內容】
一言以蔽之就是他要你當業務之前先去中正大學當兩天打雜白工       
更多在之前518的檢舉節錄 https://imgur.com/LLoMTIU  
是的他之前還是貼時薪158(更改完又能上架真的很棒)   
 以下皆為抱怨  好笑的是那教職員還叫一個有夠安靜的有領時薪的當你助手???(不懂其功用啊!) 
(p.s. 他們標榜薪水10%營業額已經很高，因為毛利不多，
但有興趣可以走一遭，看看他們賣的福義軒蛋捲是多麼貴!) 快1.5倍有吧 @@  
離開後還有小劇場.....
當天比較累，可能我或那教職員把報表寫錯了，我說，差個兩百你會有人願意去偷嗎 
結果對方為此盧小小...  所以時間夠多脾氣夠好的人不妨一試?"
青草地食品公司（快車肉乾）,新北市,包裝員,1900-01-20,1902-01-19,高職,40,"28,000 / 月",不推,"【包裝乾貨跟肉乾】
包裝乾貨跟肉乾
工作簡單輕鬆，過年過節的時候會要求加班（每天上12小時）。
長年不加薪，年終獎金也很少，三節是自家禮品（肉乾）。"
京群超媒體,新北市,程式設計師,2001-01-21,2003-01-21,大學,50,"27,000 / 月",不推,"【工作經歷中最糟糕的一間公司】
優點:認識各式各樣同事的好地方
1.營業銷售跟產品規劃幾乎是0作用，因為意見無法被上頭採納，上頭非常缺乏專業，也不尊重專業的意見，專業企劃提出10點未必通過1點，聽話就是了。 
2.老闆、負責人很摳，但又假裝自己很大方，請假流程必須層層通關簽好幾個看高層，假日必須看LINE，不不回覆老闆還會被主管LINE罵要看訊息。  
3.假福委會，其實公司已未達30人卻還是每月扣福利金 活動1年未必辦2次，員工沒有實質決定權。 
4.公司不重視人才及專業，只想花2萬請5萬的人，沒有專業的市場評估，沒有專業的產品企劃，常常都是幾句話簡單幾行字就要程式與美術研發人員瘋狂製作產品，然後再不斷的修改，並限時完成。結果產品幾年內營收幾乎是0，全部歸咎於員工開始裁員，1年內( 開發 行銷 AP 人事)等共離職了100多個員工。  

"
振興發科技有限公司,臺北市,軟體工程師,2001-01-21,2003-01-21,碩士,40,"46,000 / 月",推,"【缺點:】
1.公司位置小
2.無專人打掃
3.其中一間辦公室廁所只有一間

【優點:】
1.公司人都蠻好的
2.很適合練功

【建議:】
1.接新專案
2.sql基本要會
3.多請教做事的方法
4.自己覺得適合的身價自己要提

【適應:】
1.某主管是低氣壓中心，但是技術極佳。"
嘉愛啟智發展中心,嘉義市,教保員,2003-01-21,2005-01-20,大學,40,"28,000 / 月",不推,"【需要常常在家自主加班做資料】
工作量大，常常需要帶教案回家自主加班，老闆會說我們是責任制，要無上限的花時間在機構收容的人身上，上班時間要全心全意提供服務給身心障礙者，教案要自己找時間做，若用上班時間做把身心障礙者放置一旁，會被批評不負責任，但沒有給予足夠的時間做教案"
新代科技股份有限公司,新竹市,產品工程師,2006-01-21,2008-01-21,碩士,45,"100,000 / 月",推,"【 產品工程師什麼都要學】
Domain knowledge是基本，電控物理都要會一些，了解的越多越有發展空間
遇到不順的部分建議找主管討論

【公司管理方式】
管理階層非常平坦，公司方向決定要做的就會馬上執行，沒有多階層的政治鬥爭
鼓勵積極做事，不建議帶著少做少錯的心態
只要能有條理的處理好自己的工作，對上能有條理報告

【公司 / 團隊文化】
誠實 正直 積極 團隊 創新"
班可諾有限公司,臺北市,整合行銷企劃助理,2002-01-21,2004-01-21,大學,60,"33,000 / 月",不推,"【公司營運狀況】
雖說是整合行銷公司，但實際上就是活動公關公司，主要是做政府標案與企業活動，像是新北市政府萬聖節遊行活動、新竹市立動物園開園活動、舒潔品牌活動等。

【公司管理方式】
號稱組織扁平化，沒有主管，同事之間只有年資長短之分，但實際上是因為老闆有武則天的性格，什麼事都要經過她的同意才可以去做，多做少做都會被罵。當遇到問題且老闆不在時，問年資久的同事也沒有用，因此工作效率極差，甚麼事都要問老闆、要老闆同意，實為「假名主」。

【工時狀況】
9：30上班，10點下班還算早
面試時就有說活動公關公司要常常加班，加班沒有加班費跟補休，但時常晚上六點臨時開會，直接開到晚上十一點....，假日兩天也都進公司加班，但只要不是因為有活動要去現場都不算加班，老闆覺得加班是你個人能力不足，但很多時候我認為加班是可以避免的，只要老闆有明確的指示、做法，其實不需要做這麼多白工、浪費這麼多時間。

【升遷制度】
加薪沒有明確規則，有人做一年半加兩千、有人提離職所以加薪，全憑老闆個人想法。

【問題點】
1.公司流動率超級大，老闆自己也有說有人做一個月、一週、三天的都有，我個人是做了一個半月，實在無法忍受而提離職。
2.小公司沒制度是預料之內，但因為活動當天遲到兩小時就被扣五天假實在不合理，而且實際上就是家族企業...
3.壓垮我離職的最後一根稻草就是老闆講話時常人身攻擊，並沒有就事論事，也沒有展現出身為老闆應有的水準跟專業，批評員工對專案的想法、員工的私人生活，並自以為幽默和客觀，實際上老闆是最主觀的人。


【優點】
1.公司地點優，很多好吃的東西，交通方便，就在松菸旁邊

2.同事人都很好相處，會互相幫忙

3.老闆很重視「吃」這件事，常常中午請大家去外面餐廳吃飯，如果你很喜歡吃飯...可能是優點，但老闆很愛點過量的食物，再逼大家吃掉，我是覺得壓力很大....很浪費食物

4.公司初二、十六都要拜拜，公司有吃不完的零食、名產、酒水，晚上加班"
吉布米,新北市,正職,1900-01-20,1902-01-19,大學,45,"25,000 / 月",不推,"【薪資福利】
底薪25k完敗時薪制158/h，月排休8天等於沒放國定假日，加班費按勞基法做計算，比時薪低，有員購價優惠。

【實際工作內容】
久站，包裝要求速度快，撿貨要記上千樣商品的位置，總是有包不完的貨，爆單會要求加班，需要一起出車到附近超商下貨，公司歡迎勤勞肯做的員工。"
勤業眾信會計師事務所,臺北市,審計實習生,1900-01-20,1902-01-19,,40,"22,000 / 月",推,"【工作內容】
會有兩週訓練
後實作專案發表
再跟著組上可能會做底稿（看ic的分配）"
錫安生技股份有限公司,新竹縣,研發工程師,2003-01-21,2005-01-20,碩士,40,"670,000 / 年",不推,"【真的建議不要來....】
如果你真的很想去，建議先假設年薪12個月去談底薪，14個月極端難拿，然後把福利制度都問清楚。
建議也問清楚會不會需要用自己的車幫公司或老闆跑腿，如果要用自己的車有沒有車資補貼，要白紙黑字約定好。行政職比較需要出公差或幫公司跑腿，這點也建議放到月薪裡去考慮。
總之去之前真的要很小心，流動率很高。"
遠東航空股份有限公司,臺北市,儲訓技術員,2001-01-21,2003-01-21,大學,40,"21,600 / 月",推,"【機務處】
維修棚廠，實習生非常值得去的地方"
中國經濟通訊社股份有限公司,臺中市,廣告AE,2005-01-21,2007-01-21,大學,40,"50,000 / 月",推,"【實際工作內容】
協助中小企業外銷廣告推廣，公司福利制度優異，底薪+獎金制度健全，還有其他不定期獎金鼓勵士氣。
上下班打卡自由。"
錫安生技股份有限公司,新竹縣,研發工程師,1900-01-20,1902-01-19,碩士,40,,不推,"【真的不推.....】
進來之前把福利制度問清楚，財報看清楚，評估一下配股是否真的好。"
錫安生技股份有限公司,新竹縣,研發工程師,1900-01-20,1902-01-19,碩士,40,,不推,"【真的不推.....】
進來之前把福利制度問清楚，財報看清楚，評估一下配股是否真的好。"
正峰化學製藥股份有限公司,桃園市,製程工程師,2002-01-21,2004-01-21,碩士,41,"39,000 / 月",推,"【PD】
能學到蠻多功夫，查廠經驗
還能跟很多外勞練英文因為是API廠
環境就像化學廠

【工時狀況】
想加班就加班
查廠就會需要晚一點

【升遷制度】
沒有升遷機會

【公司 / 團隊文化】
整理不錯。大家人都不錯"
吉瑞恩有限公司,新北市,外銷成衣船務助理,2001-01-21,2003-01-21,大學,40,"33,000 / 月",推,"【  工作內容】
工作內容主要是主副料出口至工廠，相關的出口聯繫報關，以及物流管理、費用請款等。
若想要學習，有機會可以到其他職位，如業助、採購等，但必須忍受其他同事的效率慢，若可以接受，因為公司小做的事多，對未來的職涯還是有一點幫助。

【公司 / 團隊文化】
交接及事務辦理的SOP需加強；流動率高。
老人皆是待了5~15年，新人流動率高，新人跟老人相處上需要一點時間磨合。

【工時狀況】
事情不多，除了做文件跟請款比較麻煩，其他事都很單純，動作快可以有自己的時間。主管不太會管，所以很自由。
船務助理不太需要加班，實際上班時間：9:00~18:00。

【薪資福利】
休假保險制度皆照勞基法；加薪幅度小。"
高雄醫學大學附設醫院,高雄市,護理師,2003-01-21,2005-01-20,大學,40,"730,000 / 年",推,"【工作內容】
加護病房，包小夜班"
昇燕精密工業股份有限公司,高雄市,專員,1900-01-20,1902-01-19,大學,40,"30,000 / 月",不推,"【實際情形】
雖然要要提出很多建議 但都是不好的 簡單5年資年薪38萬15年資沒35K大有人在 沒年終 三節很少 沒升遷機會  騎驢找馬 可以來試試"
財團法人資訊工業策進會,臺北市,UI/UX 工讀生,2002-01-21,2004-01-21,碩士,40,162 / 小時,推,"【優點：可部分遠端、研究經費充裕、有健身房、有零食】
可以接受部分遠端工作，提前跟主管告知即可，比較有彈性。
研究時需要訪談費用或材料費時都很充裕。

另外雖然說招募時會都稱為 UI/UX 工讀生 ，但每個部門對 UI/UX 的定義或研究方法其實是很不一樣的。有的做研發執行的 UI/UX  比較設計一點 ，有些做科析計畫的 UI/UX 主要是進行使用者研究，會更像研究員，另外，研究的方式會跟在設計院校使用的方法不太一樣，會更偏向管理一點，設計的成分反而相對低。
"
財團法人中華顧問工程司,臺北市,ITS 智慧運輸實習生,2001-01-21,2003-01-21,大學,36,"6,000 / 月",推,"【如何應徵】
是經濟部 DIGI+ TALENT 計畫的實習。


【公司管理方式】
帶實習的 Mentor 非常認真，全程陪同我們實習的過程給予指導。"
晶心科技股份有限公司,新竹市,軟體工程師,2010-01-21,2012-01-21,碩士,45,"75,000 / 月",推,"【工作心得】
跟一線IC設計大廠相比，薪水偏低，但軟體部門組成相對完整，如果有心學習，是練功的好地方。"
國泰人壽,臺北市,高級專員,1900-01-20,1902-01-19,,55,"43,000 / 月",推,"【工作心得】
同事人很nice，主管效率導向，時程要求高，有別於老牌公司都會慢慢做事的刻板印象。要處理的電話很多，常常要等到快下班了才能好好做事，大家手腳都很快，但公司內部系統不好學，行政流程超多，盛行馬屁與文言文文化，優點是薪水和福利真的不錯(主要是年終高)且可以報加班，如不介意超冗的行政流程、公文、超量報告的話，這裡是不錯的選擇；反之討厭這些制式流程的千萬別來，繁瑣行政和規定絕對能讓你瘋掉！"
三緯國際立體列印科技股份有限公司,新北市,電子工程師,2004-01-21,2006-01-20,碩士,40,"50,000 / 月",推,"【工作】
因為是自己的品牌，所以在時程上比較有彈性。
加班有加班費，視需求加班
薪資每年調薪但不多
老人很多，但最近挖了一批人過來正在大改革
未來會怎麼樣就不太清楚了"
大猩猩科技股份有限公司,臺北市,軟體工程師,1900-01-20,1902-01-19,,52,"50,000 / 月",推,"【工作心得】
薪水還OK，工作量看案子情況而定，爽的時候半天事情就做完了，但多數還是得加班到7~8點才能閃人。
優點：多數主管都很嚴厲，但其實人蠻好的，對外也不會亂婊自己部屬。
缺點：蠻常聽到面試A職位進來結果被派去做B職位的事。"
七元素遊戲有限公司,臺北市,軟體工程師,1900-01-20,1902-01-19,,,,不推,"【工作心得】
如果你不管個人發展只看薪水倒可嘗試。

內部專案管理方式善變、技術主管個人政治風格過於拘束且主觀，而大小會議多，看似民主但其實不然，導致高流動率，而高層也看起來莫視此問題，建議想前往者多三思。"
華創車電技術中心股份有限公司,新北市,機構工程師,1900-01-20,1902-01-19,碩士,40,"510,000 / 年",不推,"【華創華擎機構工程師，四中機械碩】
千萬別進華創華擎，用年薪70跟你談薪水結果年終不給，整年只領50，四大四中機械碩畢低薪轟炸，只會欠供應商錢和騙員工薪水的可撥公司，高層短視近利好大喜功、基層主管為虎作倀、較資深的工程師看不起新人且毫無教育訓練可言，整天酸言酸語無法溝通，自從嚴凱泰死後這間公司就沒有打算認真做車了，別以為鴻海合資會有希望，因為仍舊是華創華擎的高層主導電動車計畫，基本上鴻海就是把零花錢丟水裡而已，遲早抽資，可惜嚴董為了搞自主品牌燒了千億背負罵名，也只是被下面的血蛭吸乾而已，誰來誰倒楣~拖垮這間公司的那些廢物們都要下地獄去懺悔~"
美麥行銷,臺北市,專案企劃助理,1900-01-20,1902-01-19,大學,80,"30,000 / 月",不推,"【公司概況】
公司在101大樓，環境很好，但公司人力嚴重不足、制度不夠完善，新人進去直接越級打怪，主管人也...不好說

【工時狀況】
天天加班(全公司都這樣)，下班時間不可預期(八點算是很早的)，提案前做到凌晨也很正常，甚至還有在101看日出的經驗，每次提案前就要做好看日出的心理準備，可以報加班，但老闆不一定會核准就是了。

【實際工作內容】
公司主要接的專案都是女性類品牌(彩妝、保養、洗髮精等)，
因為是專案企劃，工作內容包山包海，工作雜就算了(企劃本來就是這樣)，但重點是人力嚴重不足(公司流動率高)，每個人工作量超級大，甚至連新人剛進來不久也要直接接專案，總之請大家三思。"
享實作樂,臺中市,吧台手,1900-01-20,1902-01-19,大學,20,125 / 小時,推,"【很特別】
很特別的咖啡廳，可以認識很多有趣的人"
聯華電子股份有限公司,臺南市,元件開發工程師,2003-01-21,2005-01-20,碩士,45,"63,000 / 月",,"【實際工作內容】
元件電性調整"
台新金融控股股份有限公司,臺北市,職員,2001-01-21,2003-01-21,大學,40,"50,000 / 月",推,"【整體還不錯】
還不錯，整體氣氛融洽"
隆達電子股份有限公司,新竹市,生管工程師,2006-01-21,2008-01-21,大學,48,"850,000 / 年",,"【忙的時候忙，自己抓節奏，跟對老闆很重要】
忙的時候要加班"
新光人壽保險股份有限公司,新北市,行政主管,2025-01-21,2027-01-21,大學,40,"90,000 / 月",推,"【行政主管】
重點在管理地方行政事物，包含金錢、設備等等。還有下屬差勤，考核。"
濬洋企業有限公司,新北市,國內業務主管,1900-01-20,1902-01-19,大學,,,不推,"【工作內容】
進來後發現與面試落差感非常明顯，很多東西就是要自學，自己想辦法解決，獎金目標也沒明確規定，很多事情就是自己突破，每天上班都會加班，一定必須"
尚容國際實業有限公司,高雄市,設計師,2001-01-21,2003-01-21,大學,50,"25,000 / 月",不推,"【工作優點】
1.老闆對事不對人
2.環境好，很多植物
3.行銷公司所以可以接觸到很多不同的產業

缺點
4.公司內有許多植物裝飾，但須由員工照顧，若造成植物死亡，則員工須賠償
5.公司雜物很多

【工時狀況】
1.上班時間與一般公司不同-違反勞基法的大量天數
    ＊禮拜天及雙週一 固定休息(每月份的第2.4週休，因此月休約6-7天)
    ＊生日不用上班
    ＊父母生日及配偶(男女朋友也可)生日，可提前3小時下班
    ＊國定假日可提前3小時下班，隔天晚3小時上班

2.責任制加班-且不給加班費

【薪資福利】
～薪資低～
但老闆會依照工作能力加薪，做平面設計或是影音設計的起薪都是一樣的-月薪$25000
    ＊3個月後+3000，老闆說能力夠好會提前
    ＊1年後+5000，老闆說能力夠好會提前"
大山寺廟營造（傳統漢式大木作）,雲林縣,職員,2005-01-21,2007-01-21,國中,48,"2,500 / 日",推,"【從事古蹟修復（歷史建築，宗祠，古厝）】
大木作工程（漢式／日式）木構工程"
核能研究所,桃園市,助理工程師,2014-01-21,2016-01-21,碩士,40,"66,500 / 月",不推,"【 】
執行各類國家計畫，過多的行政工作"
大山寺廟營造,雲林縣,職員,2003-01-21,2005-01-20,國中,48,"65,000 / 月",推,"【實際工作內容】
古蹟修復工程   .   傳統大木作工程   .    寺廟整體建築統包工程"
全鼎資訊股份有限公司,臺北市,軟體工程師,1900-01-20,1902-01-19,大學,50,"32,000 / 月",不推,"【接 case 派駐公司】
接 case 派駐公司 需加班"
國瑞汽車股份有限公司,桃園市,生產技術╱製程工程師,2005-01-21,2007-01-21,碩士,45,"60,000 / 月",推,"【國瑞汽車股份有限公司 工作經驗分享】
主要以生產設備改善為主,很多東西必須邊看邊學,適合自主性強又善於溝通的理工學生"
宏碁派遣,臺北市,軟體工程師,1900-01-20,1902-01-19,大學,40,"46,000 / 月",推,"【工作情況】
常常加班

【實際工作內容】
加班新水看派遣公司規定，很操，肝不好的別來

【公司管理方式】
小組制

【獲得的成長】
看個人"
台達電子工業股份有限公司,桃園市,工業工程師,2003-01-21,2005-01-20,碩士,40,"47,000 / 月",,"【工業工程師】
工廠都在大陸或泰國，需要跟這兩地工廠的工程師有很大量的溝通，台灣這邊會身兼製程並且跟研發討論產品設計，所以如果有一些機構設計底子會好一點"
華南產物保險股份有限公司,臺北市,程式設計師,2002-01-21,2004-01-21,大學,40,"36,000 / 月",,"【工作內容：】
開發內部員工使用程式
webform/排程/webservice
對外
MVC維運"
台積電,新竹市,自動化整合工程師,2004-01-21,2006-01-20,碩士,52,"130,000 / 月",推,"【實際工作內容】
負責幫廠內寫各式系統(產能管理、品質管理)，使用JAVA, Delphi, SQL


【工時狀況】
正常約 早8:30到 晚7,8點 下班 (大概佔80%)
有異常事件的話就會到9點.. 
但基本上都可以實報加班"
順益汽車股份有限公司,臺北市,辦事員,2002-01-21,2004-01-21,大學,40,"29,000 / 月",推,"【簡述:】
順益汽車總公司相較其他汽車總公司入行門檻低，但相對薪水也低；目前知道公司已多年沒調薪

優點:
正常上下班，見紅休、不加班；幾乎每天都可以準時下班
可遲到3次、忘記刷卡有3次不扣薪(一個月內)
有些組別事情較少，沒事都可以做自己的事；比較自由
缺點:
萬年薪水，薪資長年凍漲
加班只有補休
除年終1個月之外，整年無任何額外獎金"
台灣豪雅光電,苗栗縣,TECHNICAL SUPPORT ENGINEER,2009-01-21,2011-01-21,碩士,40,"55,000 / 月",推,"【工作氣氛佳】
工作氣氛佳"
薩摩亞商蘋谷,臺北市,軟體相關專案管理師,2003-01-21,2005-01-20,大學,40,"55,000 / 月",推,"【實際工作狀況】
公司人都不錯，專案較無挑戰性。
主管沒什麼大腦，隨意評判人。
入職第一天早上從行政那拿到筆電，主管還沒來上班，也沒人來交接給我工作，我沒事可做，
自己下載完基本軟體後，怕別人覺得我上網做自己的事，就關掉所有視窗，望著筆電桌面發呆了超過半小時，
後來真的發呆到覺得不行，所以就自己上網看自己想看的東西，行政走過來看我狀況（因為主管還沒來，我沒事做，她關心一下），剛好就那10分鐘看到我在看自己東西, 主管來上班後就跟主管說。
主管那一個禮拜就很注意我上班有沒有在做自己私人的事。
我想說你人還沒來我沒事可做不然是要我幹麻..滑我的手機可以嗎？

主管沒有判斷能力。
後來就萌生了離職的念頭。
"
GRENDA,臺北市,產品售後技術服務,2002-01-21,2004-01-21,大學,,,不推,"【實際工作狀況】
部門同事偏年輕，有個大學剛畢業的女生汲汲營營想討好主管，想幹掉她的有經驗但是比她晚入職的同事。
另一位同事在部門待了五年多，加入之前沒什麼工作經驗。
部門同事和主管都滿笨的又沒什麼經驗。
大學畢業女同事和五年多同事會一直用：“不是要團隊合作嗎” 干預自身工作。
主動與他們討論又會被用一堆神邏輯，不理性，純粹為了反駁而反駁，永遠他們先說的是正確的，其他人說的就是錯的否決。
其實我經驗算資深也主動放手讓他們做很多工作，必要時還會提點，但結果出來功勞是他們的我沒意見，他們沒提到我我沒意見。
但我做好的工作例如在我的時段回答好客戶問題，原廠問題，他們硬要參一腳，然後說都是他們幫忙。

輪班，主管很想要部門成員平時工作或假日on call遇到問題緊急處理回覆，一段時間內為了爭取主管認同有升遷空間離個這個部門也蒙了眼睛這樣做，但都會被其他同事搶去做然後爭功。
有時候假日事情沒那麼緊急我沒回就變我的錯了。
有時假日看某件不緊急事情沒人回，我只是剛好有空順手幫忙做沒別的意思，也知道那不緊急，一樣變我的錯。

On call事項從一開始入職因為兩位同事不想討論，想假日有事情可做讓主管覺得自己做了很多事很厲害就一直沒辦法討論，有模糊不清地帶。

不值得去的部門。
資深的可以考慮過去把主管30歲馬來西亞人男性幹掉。"
段泰國蝦有限公司,高雄市,全職,2004-01-21,2006-01-20,大學,,,不推,"【糟到不行】
攝影機超多隻，還具有錄音功能，
出貨說甚麼都會被聽進去，
然後再來跟你說，你聊甚麼她都知道。

就算在這裡可以學到東西也很不值得，
老闆脾氣超差，差到不行，
回一個簡單的客服，回一句話的用字遣詞都會叼，
即使客人很開心，就是念你回的不對！
每天上班都很悶，整個辦公室氣氛超糟，
唸走6位員工了，最資深11個月也離職了。
"
燈光音響公司,新北市,工程師,2004-01-21,2006-01-20,大學,40,"35,000 / 月",不推,"【工作規劃】
在燈光音響公司上班後，學習一些硬體技術跟配置能力，之後將轉職到電視台上班等退休。雖然接觸都是專業技術，但說白了跟工地沒啥兩樣，感覺光鮮亮麗，但利潤都不會跑到你的薪資裡去。

【工時狀況】
最早一個到現場，最晚一個走。時常會超時上班，每次用餐都不正常，活動期間常常需要憋尿。

【薪資福利】
基本底薪、加班薪資、年終獎金

【公司管理方式】
沒甚麼管理制度，都是學長學弟制，很多東西都是靠自己摸索，當然有時會有教育訓練，但那些都只是皮毛技術。

【獲得的成長】
專業技術提升，接觸各式各樣的活動場地，應變能力也變強，體力耐力也提升許多

【給公司的建議】
因為利潤少所以薪資也不是太高，建議多方面開發業務

【升遷制度】
上面有人離職就會有升遷機會

【公司 / 團隊文化】
公司基本上沒有太多向心力，大家都學完技術後就會到更好的公司發展

【實際工作內容】
一開始到工作現場卸貨、搭建鷹架、配置燈光音響、測試裝置、彩排、拆台、疊貨。

【工作結論】
結論是如果想要看看藝人、演唱會、電視錄影現場、幕後發展，是一項不錯的開始。但是到後來也只能前往電視台養老，很多事情其實還是得靠自己去學習發展，這是一條不歸路，只能說圈子很小轉型比較不意，慎重挑選自己的道路。"
新東陽股份有限公司,嘉義縣,工讀生,2047-01-21,2049-01-20,五專,20,150 / 小時,推,"【主要責任都是正職人員擔任】
主要責任都是正職人員擔任"
佳世達,臺北市,資深硬體工程師,2007-01-21,2009-01-20,碩士,40,"59,000 / 月",不推,"【工作內容】
保14   福利普通  政治鬥爭嚴重"
昇捷建設股份有限公司,桃園市,企劃,2002-01-21,2004-01-21,大學,48,"34,000 / 月",不推,"【工作內容】
行銷雜事多 粉專小編 發出媒體 所有發出稿 都需要做

【工時狀況】
09~18 中間休息12-13
月休六天

【薪資福利】
薪資34K
扣除1500公司說的福利 油資卡費用
扣除1800樓下自己家的咖啡廳做的勉強可入口午餐
扣除勞健保
加班費或其他的獎金會從三節給

【公司管理方式】
大部分是責任制
但如果不想加班事情趕快做完六點準時下班
聽前輩說會被換來一句''你是公務員嗎''

上頭作風較為老派
公司文化較為保守
大公司 所以需要上簽呈
簽呈通常會上呈很久

每天都要寫工作日誌

【獲得的成長】
很願意培養新人 做中學 如果你要的話

【升遷制度】
不太會升遷

【公司 / 團隊文化】
同事通常都私底下抱怨上頭 但大家都把戲演好演滿(事情還是會做完啦)
昇捷是尊爵的關係企業 有空可以查一下

一、每天早上九點要跳早操

二、每天都要穿對應的制服，如果穿錯就會開始被唸，會被記點，記點後不知道滿多少會扣薪水。

三、不會有加班費。

四、月休六天。

五、上班提供的mac電腦是十年前的電腦，連ps都不能用的那種，fb都跑不動。

六、公司只有中午時間可以上網，其他時間不提供網路，公司不能用自己的電腦。

七、夏天超過28度才可以開冷氣

八、廁所要經過外面的陽台才可以到，冬天的時候會覺得超級冷！

九、公司會做很多表面給消費者看，例如禮盒，公司想做會賣給廠商(每位同事都有推銷標準，有賣有抽成)，如果沒賣完會均攤從年終或三節扣除，然後你就有禮盒囉!"
雷天廣告有限公司,桃園市,社群媒體小編,2002-01-21,2004-01-21,大學,40,"32,000 / 月",不推,"【老人很難接受改變】
老闆是聯合報UDN的前業務，其實現在也是，專門銷售桃園預售、成屋建案的廣告。開給你32K但需要你整頓整間公司的網路政策(他們對於網路一竅不通) 把自己過去的經驗講完之後老闆很難接受也不願意改變，因為老闆很老派。"
九天資產管理股份有限公司,臺北市,企劃部,1900-01-20,1902-01-19,大學,60,"40,000 / 月",不推,"【實際工作內容】
企劃部小員工分享工作經歷：
老闆脾氣很差，常常爆炸怒罵，忍了一個月一直出國所以沒在公司罵人回來還洋洋自得的炫耀說我一個月沒罵人了耶
台北四五萬但不罵人的公司很多
建議不要進來享受聽力的轟炸測試"
